from	to	type	weight	low	high
Rr	Rrq	edge	0.0343400629947281	NA	NA
Rr	Rrqk	edge	0.034340062994727756	NA	NA
Rrq	Rrr	edge	0.02213223629412855	NA	NA
Rrq	Rrqy	edge	0.01783691324397083	NA	NA
Rrr	Rrry	edge	0.01455319635160456	NA	NA
Rrr	admixla	edge	3.9143860710415864e-4	NA	NA
Rrry	FVY	edge	0.006394154301314328	NA	NA
Rrry	FVV	edge	-1.8036969716905436e-19	NA	NA
Rrqy	FVP	edge	0	NA	NA
Rrqy	admixlb	edge	8.427005059822314e-5	NA	NA
admixl	FVG	edge	8.389526595539654e-4	NA	NA
Rrqk	FCP	edge	0.003544570808895241	NA	NA
Rrqk	Rrqkx	edge	0.0054087970475662495	NA	NA
Rrqkx	FCC	edge	0.055174629374286174	NA	NA
Rrqkx	FCL	edge	0.004601416435127435	NA	NA
admixla	admixl	admix	0.6830666802142719	0.5341085880446964	0.6830666802142719
admixlb	admixl	admix	0.31693331978572814	0.31693331978572814	0.4658914119553036
