from	to	type	weight	low	high
R	Rr	edge	0	NA	NA
Rr	Rrq	edge	0.04053644942827836	NA	NA
Rrl	FCC	edge	0.0343233730551758	NA	NA
Rrr	Rrry	edge	0.015548308062477655	NA	NA
Rrry	FVY	edge	0.006069820279424042	NA	NA
Rrry	FVV	edge	-1.4653804249076345e-19	NA	NA
Rrq	Rrr	edge	0.020906266881325315	NA	NA
Rrb	Rrl	edge	0.034105540340298786	NA	NA
Rrb	admix	edge	3.060133914178056e-4	NA	NA
Rrq	Rrqy	edge	0.01559838939882488	NA	NA
Rrqy	FVP	edge	-1.2115595312509525e-20	NA	NA
Rrr	admixl	admix	0.7180642166859103	0.7179906723368895	0.7180660084169143
admixl	FVG	edge	0	NA	NA
Rrqy	admixl	admix	0.28193578331408975	0.28193399158308574	0.2820093276631105
Rr	Rrqk	edge	0.04053644942817929	NA	NA
admix	admixh	admix	0.29061605655892275	0.28887239784896346	0.3094911422825257
admixh	FCP	edge	0.00362327437030161	NA	NA
Rrqk	admixh	admix	0.7093839434410772	0.6905088577174743	0.7111276021510365
Rrqk	Rrqkx	edge	0.017438840745997327	NA	NA
Rrqkx	Rrb	edge	0.018421837633850958	NA	NA
Rrl	admixb	admix	0.008457217898712628	0.0010269645702829413	0.025578658833844324
admixb	FCL	edge	4.669299309002073e-4	NA	NA
Rrqkx	admixb	admix	0.9915427821012873	0.9744213411661556	0.998973035429717
